book_id,genres
581169,"fiction, children, fantasy, paranormal, young-adult"
65832,"fiction, young-adult, children, history, historical fiction, biography, romance"
6987114,"mystery, thriller, crime, fiction, children"
852724,"children, fiction, young-adult, history, historical fiction, biography"
15983158,"fantasy, paranormal, fiction, children, young-adult"
37700,"fantasy, paranormal, fiction, children, young-adult"
37705,"fiction, young-adult, history, historical fiction, biography, children, romance"
533675,"children, fantasy, paranormal, fiction, young-adult"
13447642,"fiction, children, young-adult, history, historical fiction, biography, fantasy, paranormal"
1386631,"fantasy, paranormal, fiction, children, young-adult"
18777830,"young-adult, fiction, history, historical fiction, biography, children, fantasy, paranormal"
1420180,"children, fiction"
2968207,"fiction, young-adult, history, historical fiction, biography, children, romance"
210297,"fiction, children, young-adult, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime"
12457856,"fantasy, paranormal, children, fiction, young-adult, history, historical fiction, biography"
343002,"children, fiction, fantasy, paranormal, young-adult"
9464459,"fiction, young-adult, children, history, historical fiction, biography"
4683101,"fiction, children, fantasy, paranormal, young-adult, history, historical fiction, biography"
915529,"fantasy, paranormal, fiction, children, young-adult, romance"
1228731,"fiction, children, history, historical fiction, biography, young-adult"
1577950,"fiction, children, young-adult, fantasy, paranormal"
33509754,"children, fantasy, paranormal, fiction, young-adult"
1106532,"fiction, young-adult, children, history, historical fiction, biography"
126910,"fiction, children, young-adult, history, historical fiction, biography, romance"
18270638,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
8599324,"fiction, young-adult, history, historical fiction, biography, children, romance"
1052081,"fantasy, paranormal, fiction, children, young-adult"
1052080,"fantasy, paranormal, fiction, children, young-adult"
17557901,"fantasy, paranormal, fiction, children, young-adult, non-fiction"
782513,"fiction, children, history, historical fiction, biography, young-adult"
779021,"fantasy, paranormal, children, fiction, young-adult"
118458,"poetry, children, fiction, young-adult, non-fiction"
233714,"children, fiction, young-adult, fantasy, paranormal"
13547175,"children, fiction, fantasy, paranormal, young-adult, romance, non-fiction"
12804713,"fantasy, paranormal, fiction, children, young-adult"
30140997,"children, fiction, history, historical fiction, biography"
22755547,"fiction, children, fantasy, paranormal, young-adult, poetry"
6378489,"fiction, young-adult, history, historical fiction, biography, children, romance"
478814,"fiction, children, fantasy, paranormal, young-adult, history, historical fiction, biography, poetry"
10290538,"children, fiction, fantasy, paranormal, young-adult"
10290539,"children, fiction, fantasy, paranormal, young-adult"
885512,"children, fiction, fantasy, paranormal, young-adult"
1404078,"fiction, fantasy, paranormal, children, young-adult, history, historical fiction, biography"
25902449,"children, fiction, fantasy, paranormal, young-adult"
823591,"fiction, young-adult, history, historical fiction, biography, children, romance"
774557,"fantasy, paranormal, children, fiction, young-adult, non-fiction"
2819626,"fiction, history, historical fiction, biography, children, young-adult"
901941,"fiction, children, young-adult, history, historical fiction, biography, romance"
8840926,"fiction, children, fantasy, paranormal"
353640,children
164531,"children, fiction, young-adult, history, historical fiction, biography, fantasy, paranormal"
14578344,"fantasy, paranormal, fiction, children, history, historical fiction, biography, young-adult, poetry, romance"
1819127,"fiction, children, history, historical fiction, biography"
2752212,"children, fiction"
7293254,"poetry, fiction, children"
17434185,"children, young-adult, fiction, fantasy, paranormal"
1291925,"fantasy, paranormal, fiction, children, non-fiction"
6603788,"fiction, history, historical fiction, biography, children, young-adult"
246546,"fiction, history, historical fiction, biography, children, young-adult, romance"
26240515,"children, fiction, young-adult"
2805247,"fiction, young-adult, history, historical fiction, biography, children, romance"
2721924,"children, history, historical fiction, biography, fiction"
19337,"children, fiction, fantasy, paranormal, young-adult"
19336,"children, fiction, fantasy, paranormal, young-adult"
10319646,"children, fiction, fantasy, paranormal, young-adult"
489065,"fantasy, paranormal, children, fiction, history, historical fiction, biography"
2740530,"fiction, children, history, historical fiction, biography"
877512,"fantasy, paranormal, fiction, children, young-adult"
11130309,"fiction, children, young-adult, history, historical fiction, biography, fantasy, paranormal, mystery, thriller, crime"
608727,"children, fiction, fantasy, paranormal, history, historical fiction, biography, young-adult"
11148585,"fantasy, paranormal, fiction, children, young-adult"
7685428,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
1526582,children
5945531,"children, fiction, fantasy, paranormal"
11042077,"fantasy, paranormal, children, fiction, young-adult"
289581,"fantasy, paranormal, fiction, children, non-fiction, history, historical fiction, biography"
2544136,"fantasy, paranormal, fiction, children"
24110437,"fantasy, paranormal, fiction, children, young-adult, poetry, history, historical fiction, biography"
9828091,"children, fiction, fantasy, paranormal, young-adult"
2092241,"fantasy, paranormal, children, fiction, young-adult"
922737,"fantasy, paranormal, fiction, children, romance, young-adult"
2166165,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
10786233,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
1174165,"fiction, young-adult, history, historical fiction, biography, children, romance"
753064,"children, fantasy, paranormal, fiction, young-adult, history, historical fiction, biography"
22855431,"fiction, history, historical fiction, biography, children, young-adult, fantasy, paranormal"
17970911,"fantasy, paranormal, fiction, children, young-adult, romance"
11390638,"fantasy, paranormal, fiction, children, young-adult"
17468321,"fantasy, paranormal, fiction, children, young-adult"
5422723,"children, fiction, history, historical fiction, biography, non-fiction"
1201548,"fiction, fantasy, paranormal, children, history, historical fiction, biography, young-adult"
12096887,"children, mystery, thriller, crime, young-adult, fiction, history, historical fiction, biography"
10376402,"fantasy, paranormal, children, fiction, young-adult"
2067866,"children, fiction, fantasy, paranormal, comics, graphic"
17276850,"fiction, children, history, historical fiction, biography, fantasy, paranormal"
633670,"fantasy, paranormal, children, poetry, fiction, young-adult"
1615663,children
1615661,"children, fiction, fantasy, paranormal, young-adult, poetry"
1329946,"fiction, young-adult, history, historical fiction, biography, children, romance"
831277,"mystery, thriller, crime, fiction, children"
8160859,"children, non-fiction"
774576,"fantasy, paranormal, fiction, children, young-adult, romance, non-fiction"
774571,"fantasy, paranormal, fiction, children, young-adult, non-fiction, romance"
8356546,"children, young-adult, fiction"
787458,"fantasy, paranormal, fiction, children, romance, young-adult, non-fiction"
1120834,"fiction, children, fantasy, paranormal, young-adult, history, historical fiction, biography"
6855455,"children, fantasy, paranormal"
1206329,"fantasy, paranormal, children, fiction, young-adult, history, historical fiction, biography"
24153052,"fiction, young-adult, children, history, historical fiction, biography, romance"
1915212,"fantasy, paranormal, fiction, children, young-adult"
209594,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography, romance"
1943373,"fiction, fantasy, paranormal, children, history, historical fiction, biography, young-adult"
128518,"fiction, children, fantasy, paranormal, poetry, young-adult"
17871722,"mystery, thriller, crime, fiction, children, young-adult, romance"
6333,"children, fiction, young-adult, fantasy, paranormal"
223632,"fiction, history, historical fiction, biography, children"
1144012,"children, fiction"
8401283,"children, fiction, fantasy, paranormal, young-adult, history, historical fiction, biography"
702481,"fantasy, paranormal, fiction, children, young-adult, comics, graphic"
151757,"poetry, children, fiction"
10055236,"fiction, young-adult, history, historical fiction, biography, children, romance"
2408158,"fantasy, paranormal, fiction, children, young-adult"
16056783,"children, fiction, fantasy, paranormal, young-adult"
1294251,"children, fiction, fantasy, paranormal, young-adult, history, historical fiction, biography"
884055,"fiction, children, romance, young-adult, history, historical fiction, biography"
2164027,"fiction, children, young-adult, fantasy, paranormal, mystery, thriller, crime, history, historical fiction, biography"
6345961,"fiction, children"
16129485,"poetry, children"
2391,"fiction, young-adult, children, history, historical fiction, biography"
1001896,"poetry, fiction, children, fantasy, paranormal, young-adult"
1413520,"children, fiction, fantasy, paranormal, young-adult"
914608,"fiction, children, young-adult, history, historical fiction, biography"
885522,"children, fiction, comics, graphic"
11869068,"mystery, thriller, crime, fiction, children, young-adult"
16166469,"fiction, children"
17885894,"young-adult, fantasy, paranormal, children, fiction"
982307,"children, fiction, young-adult, history, historical fiction, biography"
1915215,"fantasy, paranormal, children, fiction, young-adult, history, historical fiction, biography"
7956396,"fiction, young-adult, children, history, historical fiction, biography, romance"
18039076,"fantasy, paranormal, children, fiction, young-adult"
6698439,"poetry, children, young-adult, fiction, history, historical fiction, biography"
716361,"children, fantasy, paranormal, fiction, young-adult"
848027,"children, non-fiction, fantasy, paranormal, history, historical fiction, biography, fiction, young-adult"
752923,"children, fiction, fantasy, paranormal, young-adult"
6039473,"children, fiction, fantasy, paranormal"
763472,"fantasy, paranormal, children, fiction, young-adult, history, historical fiction, biography"
1785038,"fiction, children, history, historical fiction, biography, young-adult"
10784959,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
774587,"fantasy, paranormal, fiction, children, young-adult, romance, non-fiction"
6900559,"fantasy, paranormal, fiction, children, young-adult"
65762,"fiction, young-adult, history, historical fiction, biography, children"
4238416,"fantasy, paranormal, poetry, children"
375711,"children, fiction, fantasy, paranormal, young-adult"
1213297,"fiction, children, history, historical fiction, biography, young-adult"
13432994,"young-adult, history, historical fiction, biography, fiction, children"
423177,"fantasy, paranormal, fiction, children, young-adult, romance, non-fiction"
543163,"fantasy, paranormal, fiction, children, young-adult, non-fiction"
2892725,"children, fantasy, paranormal, fiction, young-adult"
4702206,"children, poetry, fiction, young-adult"
10606762,"fiction, children, young-adult"
17738897,"children, fiction, fantasy, paranormal, young-adult, history, historical fiction, biography"
7670284,"children, fiction, fantasy, paranormal, young-adult"
1838314,"fiction, children, history, historical fiction, biography"
11696812,"children, fiction, young-adult, fantasy, paranormal"
19360423,"fantasy, paranormal, fiction, children, young-adult, non-fiction"
18078320,"fantasy, paranormal, fiction, children, young-adult, poetry, history, historical fiction, biography"
816216,"fiction, children, fantasy, paranormal, non-fiction, young-adult"
8208186,"mystery, thriller, crime, fiction, children, romance, history, historical fiction, biography, young-adult"
21901752,"mystery, thriller, crime, fiction, children"
17618843,"poetry, children"
1074856,"poetry, fiction, children"
873546,"fiction, children, history, historical fiction, biography"
10233398,"history, historical fiction, biography, fiction, children, fantasy, paranormal, young-adult"
5230844,"fiction, fantasy, paranormal, children"
11069937,"fiction, children, young-adult, fantasy, paranormal"
3239357,"children, fiction, young-adult, history, historical fiction, biography"
11644567,"fantasy, paranormal, children, fiction, young-adult, history, historical fiction, biography"
17570264,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
1434248,"children, fiction, young-adult, history, historical fiction, biography, romance"
658036,"children, fiction, fantasy, paranormal, young-adult"
4711999,"children, young-adult"
3205107,"fiction, children, history, historical fiction, biography, fantasy, paranormal"
752911,"children, fiction, fantasy, paranormal, young-adult"
2310655,"children, fiction, fantasy, paranormal"
10621724,"young-adult, children, fiction"
906023,"fiction, children, young-adult"
1258005,"children, fiction, fantasy, paranormal"
162249,"children, fiction, history, historical fiction, biography, young-adult"
6614654,"children, history, historical fiction, biography, fiction"
1189883,"children, young-adult, fantasy, paranormal, fiction"
1469370,"children, non-fiction, history, historical fiction, biography"
774597,"fantasy, paranormal, fiction, children, young-adult, non-fiction"
2188886,"fiction, fantasy, paranormal, children"
8848254,"fiction, children, history, historical fiction, biography, young-adult, romance"
5402661,"children, fiction, poetry, fantasy, paranormal, young-adult, history, historical fiction, biography"
1108601,"fiction, history, historical fiction, biography, children"
4691316,"children, fiction"
29807911,"fiction, poetry, non-fiction, children"
6020750,"fiction, fantasy, paranormal, children, young-adult"
7312371,"fiction, mystery, thriller, crime, children"
7104303,"fantasy, paranormal, fiction, children, young-adult, history, historical fiction, biography"
223088,"children, history, historical fiction, biography, fiction, young-adult"
6375192,"fiction, children, history, historical fiction, biography, non-fiction"
3411376,"children, fiction, young-adult, non-fiction, mystery, thriller, crime"
752942,"children, fiction, fantasy, paranormal, poetry"
4685832,"fiction, history, historical fiction, biography, children, young-adult, fantasy, paranormal"
1645050,"non-fiction, children, history, historical fiction, biography"
787540,"fantasy, paranormal, fiction, children, romance, non-fiction"
